Model Name,Load Type,Mean,Median,P95,Maximum
ResNet18,Low,6728.22,1919.00,28731.00,175252.00
ResNet18,Medium,9578.43,64.50,24577.25,193711.00
ResNet18,Heavy,9581.27,153.00,21413.00,193635.00
OPT-125M,Low,175.08,6.00,1043.00,3248.00
OPT-125M,Medium,202.42,7.00,1415.40,11673.00
OPT-125M,Heavy,205.61,9.00,1414.60,20928.00
Llama3-8B,Low,614.72,6.00,3786.55,54942.00
Llama3-8B,Medium,552.60,4.00,3682.60,32309.00
Llama3-8B,Heavy,593.46,5.00,3761.00,55552.00
OPT-66B,Low,1251.28,6.00,6046.70,120070.00
